utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,22,24.233,tractors .,bap .,photo .,do you wanna mash some potatos ?,do you wanna mash some potatos ?,do you wanna mash some potatos ?
2,Becky,1,no .,no .,1,1,1,1,1,1,1,Becky/020007.cha,25,24.233,shot .,sorted .,litterbin .,do you wanna mash some potatos ?,do you wanna mash some potatos ?,do you wanna mash some potatos ?
3,Becky,1,xxx .,.,0,0,0,0,0,0,0,Becky/020007.cha,43,24.233,.,.,.,mind your head .,whoops . mind your head .,on there ? whoops . mind your head .
4,Becky,1,do it on there .,do it on there .,4,4,4,5,4,4,4,Becky/020007.cha,44,24.233,lorrys goodbye edward vacuuming .,far wand slap huhuh .,cuttings waste forms bogu .,mind your head .,whoops . mind your head .,on there ? whoops . mind your head .
5,Becky,1,do it on there .,do it on there .,4,4,4,5,4,4,4,Becky/020007.cha,50,24.233,odd tent pingu's fuzz .,shattered stretched story's zookeeper .,stem language guy's paddy .,pardon ?,mind your head . pardon ?,whoops . mind your head . pardon ?
6,Becky,1,xxx .,.,0,0,0,0,0,0,0,Becky/020007.cha,64,24.233,.,.,.,let's get .,yeah ? let's get .,shall we put that away there ? yeah ? let's get .
7,Becky,1,step .,step .,1,1,1,1,1,1,1,Becky/020007.cha,69,24.233,worried .,piccalilli .,mack .,pardon ?,let's get . pardon ?,yeah ? let's get . pardon ?
8,Becky,1,a step .,a step .,2,2,2,2,2,2,2,Becky/020007.cha,72,24.233,blow tenders .,pre nighties .,spills binna .,pardon ?,let's get . pardon ?,yeah ? let's get . pardon ?
9,Becky,1,a step .,a step .,2,2,2,2,2,2,2,Becky/020007.cha,75,24.233,slice doing .,eyedrops dazzle .,enter enter .,pardon ?,let's get . pardon ?,yeah ? let's get . pardon ?
10,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,81,24.233,sneezed .,tons .,hopper .,a step ?,pardon ? a step ?,let's get . pardon ? a step ?
11,Becky,1,step there .,step there .,2,2,2,3,2,2,2,Becky/020007.cha,94,24.233,dribble why .,nun covering .,cage clipping .,right .,there's a step there ? right .,oh . there's a step there ? right .
12,Becky,1,up you go .,up you go .,3,3,3,3,3,3,3,Becky/020007.cha,97,24.233,gas pippa sense .,pretty tune swallowing .,credit dude dandy .,right .,there's a step there ? right .,oh . there's a step there ? right .
13,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,106,24.233,velcro .,trucks .,silo .,going up the steps ?,right . going up the steps ?,there's a step there ? right . going up the steps ?
14,Becky,1,up there .,up there .,2,2,2,3,2,2,2,Becky/020007.cha,116,24.233,lake eric .,pam dingle .,gingerbread boiler .,what is this Becky ?,maybe he could go up here as_well . what is this Becky ?,going up the steps ? maybe he could go up here as_well . what is this Becky ?
15,Becky,1,up there .,up there .,2,2,2,3,2,2,2,Becky/020007.cha,122,24.233,gaby gray .,minna flushed .,spools daniel .,and how does he go up there ?,what is this Becky ? and how does he go up there ?,maybe he could go up here as_well . what is this Becky ? and how does he go up there ?
16,Becky,1,up there .,up there .,2,2,2,3,2,2,2,Becky/020007.cha,125,24.233,picnic shafto .,chipees family .,groaned hatches .,and how does he go up there ?,what is this Becky ? and how does he go up there ?,maybe he could go up here as_well . what is this Becky ? and how does he go up there ?
17,Becky,1,step .,step .,1,1,1,1,1,1,1,Becky/020007.cha,141,24.233,were .,solo .,buyed .,yeah ?,hafta have it like that look . yeah ?,he doesn't fit on there I'm afraid . hafta have it like that look . yeah ?
18,Becky,1,step .,step .,1,1,1,1,1,1,1,Becky/020007.cha,144,24.233,patience .,mccartney .,smudge .,yeah ?,hafta have it like that look . yeah ?,he doesn't fit on there I'm afraid . hafta have it like that look . yeah ?
19,Becky,1,xxx .,.,0,0,0,0,0,0,0,Becky/020007.cha,147,24.233,.,.,.,yeah ?,hafta have it like that look . yeah ?,he doesn't fit on there I'm afraid . hafta have it like that look . yeah ?
20,Becky,1,go round .,go round .,2,2,2,2,2,2,2,Becky/020007.cha,152,24.233,serious bother .,swim scooper .,bible bulb .,willn't that go round ?,yeah ? willn't that go round ?,hafta have it like that look . yeah ? willn't that go round ?
21,Becky,1,oh .,oh .,1,1,1,1,1,1,1,Becky/020007.cha,163,24.233,wawa .,meller .,gordon .,.,whoops . .,round and round . whoops . .
22,Becky,1,seesaw Margery Daw .,seesaw Margery Daw .,3,3,6,6,6,6,3,Becky/020007.cha,166,24.233,taper cooker brace .,recyclable franklin's grumble .,chugga junky draws .,.,whoops . .,round and round . whoops . .
23,Becky,1,step .,step .,1,1,1,1,1,1,1,Becky/020007.cha,170,24.233,carolin .,cleanup .,treet .,.,whoops . .,round and round . whoops . .
24,Becky,1,step .,step .,1,1,1,1,1,1,1,Becky/020007.cha,176,24.233,sneeze .,buddha .,tored .,shall you put him on the other end then ?,. shall you put him on the other end then ?,whoops . . shall you put him on the other end then ?
