utt_id,utt_id_role,speaker,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,context_k1,context_k2,context_k3
1,1,MOT,John,1,there you go .,there you go .,3,3,3,4,3,3,3,John/011115.cha,14,23.5,,,
2,2,MOT,John,1,mhm .,mhm .,1,1,1,1,1,1,1,John/011115.cha,20,23.5,there you go .,there you go .,there you go .
3,3,MOT,John,1,put an apron on .,put an apron on .,4,4,5,5,5,5,4,John/011115.cha,23,23.5,mhm .,there you go . mhm .,there you go . mhm .
4,4,MOT,John,1,mhm .,mhm .,1,1,1,1,1,1,1,John/011115.cha,29,23.5,put an apron on .,mhm . put an apron on .,there you go . mhm . put an apron on .
5,5,MOT,John,1,you draw it on your Daddys .,you draw it on your Daddys .,6,6,7,7,6,7,6,John/011115.cha,38,23.5,mhm .,put an apron on . mhm .,mhm . put an apron on . mhm .
6,6,MOT,John,1,come on .,come on .,2,2,2,3,2,2,2,John/011115.cha,44,23.5,you draw it on your Daddys .,mhm . you draw it on your Daddys .,put an apron on . mhm . you draw it on your Daddys .
7,7,MOT,John,1,"just put this on John because you got all messy last time , didn't you ?",just put this on John because you got all messy last time didn't you ?,14,18,16,18,16,16,14,John/011115.cha,47,23.5,come on .,you draw it on your Daddys . come on .,mhm . you draw it on your Daddys . come on .
8,8,MOT,John,1,it's yellow .,it's yellow .,2,3,3,3,3,3,2,John/011115.cha,62,23.5,just put this on John because you got all messy last time didn't you ?,come on . just put this on John because you got all messy last time didn't you ?,you draw it on your Daddys . come on . just put this on John because you got all messy last time didn't you ?
9,9,MOT,John,1,let's see .,let's see .,2,3,2,2,2,2,2,John/011115.cha,77,23.5,it's yellow .,just put this on John because you got all messy last time didn't you ? it's yellow .,come on . just put this on John because you got all messy last time didn't you ? it's yellow .
10,10,MOT,John,1,take a piece off .,take a piece off .,4,4,4,6,4,4,4,John/011115.cha,80,23.5,let's see .,it's yellow . let's see .,just put this on John because you got all messy last time didn't you ? it's yellow . let's see .
11,11,MOT,John,1,yellow .,yellow .,1,1,2,2,2,2,1,John/011115.cha,86,23.5,take a piece off .,let's see . take a piece off .,it's yellow . let's see . take a piece off .
12,12,MOT,John,1,you draw a horse then .,you draw a horse then .,5,5,5,6,5,5,5,John/011115.cha,98,23.5,yellow .,take a piece off . yellow .,let's see . take a piece off . yellow .
13,13,MOT,John,1,you draw a horse .,you draw a horse .,4,4,4,5,4,4,4,John/011115.cha,101,23.5,you draw a horse then .,yellow . you draw a horse then .,take a piece off . yellow . you draw a horse then .
14,14,MOT,John,1,no .,no .,1,1,1,1,1,1,1,John/011115.cha,105,23.5,you draw a horse .,you draw a horse then . you draw a horse .,yellow . you draw a horse then . you draw a horse .
15,15,MOT,John,1,are you drawing Daddy ?,are you drawing Daddy ?,4,4,6,6,6,6,4,John/011115.cha,111,23.5,no .,you draw a horse . no .,you draw a horse then . you draw a horse . no .
16,16,MOT,John,1,is it Daddy ?,is it Daddy ?,3,3,4,4,4,4,3,John/011115.cha,117,23.5,are you drawing Daddy ?,no . are you drawing Daddy ?,you draw a horse . no . are you drawing Daddy ?
17,17,MOT,John,1,it's meant to be Humpty_Dumpty .,it's meant to be Humpty_Dumpty .,6,7,8,8,8,8,6,John/011115.cha,120,23.5,is it Daddy ?,are you drawing Daddy ? is it Daddy ?,no . are you drawing Daddy ? is it Daddy ?
18,18,MOT,John,1,okay .,okay .,1,1,2,2,3,2,1,John/011115.cha,126,23.5,it's meant to be Humpty_Dumpty .,is it Daddy ? it's meant to be Humpty_Dumpty .,are you drawing Daddy ? is it Daddy ? it's meant to be Humpty_Dumpty .
19,19,MOT,John,1,www .,.,0,0,0,0,0,0,0,John/011115.cha,135,23.5,okay .,it's meant to be Humpty_Dumpty . okay .,is it Daddy ? it's meant to be Humpty_Dumpty . okay .
20,20,MOT,John,1,no .,no .,1,1,1,1,1,1,1,John/011115.cha,143,23.5,.,okay . .,it's meant to be Humpty_Dumpty . okay . .
21,21,MOT,John,1,"you know what you want , don't you ?",you know what you want don't you ?,7,9,7,7,7,7,7,John/011115.cha,146,23.5,no .,. no .,okay . . no .
22,22,MOT,John,1,oh thank_you .,oh thank_you .,3,2,3,3,3,3,3,John/011115.cha,155,23.5,you know what you want don't you ?,no . you know what you want don't you ?,. no . you know what you want don't you ?
23,23,MOT,John,1,what shall we draw with the blue ?,what shall we draw with the blue ?,7,7,7,7,7,7,7,John/011115.cha,158,23.5,oh thank_you .,you know what you want don't you ? oh thank_you .,no . you know what you want don't you ? oh thank_you .
24,24,MOT,John,1,what shall we draw ?,what shall we draw ?,4,4,4,4,4,4,4,John/011115.cha,161,23.5,what shall we draw with the blue ?,oh thank_you . what shall we draw with the blue ?,you know what you want don't you ? oh thank_you . what shall we draw with the blue ?
25,25,MOT,John,1,oh that's good .,oh that's good .,3,4,3,3,3,3,3,John/011115.cha,170,23.5,what shall we draw ?,what shall we draw with the blue ? what shall we draw ?,oh thank_you . what shall we draw with the blue ? what shall we draw ?
26,26,MOT,John,1,what is that ?,what is that ?,3,3,3,3,3,3,3,John/011115.cha,173,23.5,oh that's good .,what shall we draw ? oh that's good .,what shall we draw with the blue ? what shall we draw ? oh that's good .
27,27,MOT,John,1,a spider ?,a spider ?,2,2,3,3,3,3,2,John/011115.cha,176,23.5,what is that ?,oh that's good . what is that ?,what shall we draw ? oh that's good . what is that ?
28,28,MOT,John,1,spider .,spider .,1,1,2,2,2,2,1,John/011115.cha,182,23.5,a spider ?,what is that ? a spider ?,oh that's good . what is that ? a spider ?
29,29,MOT,John,1,have you seen the spider ?,have you seen the spider ?,5,6,6,7,6,6,5,John/011115.cha,188,23.5,spider .,a spider ? spider .,what is that ? a spider ? spider .
30,30,MOT,John,1,thank_you .,thank_you .,2,1,2,2,2,2,2,John/011115.cha,191,23.5,have you seen the spider ?,spider . have you seen the spider ?,a spider ? spider . have you seen the spider ?
31,31,MOT,John,1,another spider ?,another spider ?,2,2,5,5,5,5,2,John/011115.cha,197,23.5,thank_you .,have you seen the spider ? thank_you .,spider . have you seen the spider ? thank_you .
32,32,MOT,John,1,&-um .,.,0,0,0,0,0,0,0,John/011115.cha,200,23.5,another spider ?,thank_you . another spider ?,have you seen the spider ? thank_you . another spider ?
33,33,MOT,John,1,do you want some eyes ?,do you want some eyes ?,5,5,5,6,6,5,5,John/011115.cha,207,23.5,.,another spider ? .,thank_you . another spider ? .
34,34,MOT,John,1,yeah .,yeah .,1,1,1,1,1,1,1,John/011115.cha,213,23.5,do you want some eyes ?,. do you want some eyes ?,another spider ? . do you want some eyes ?
35,35,MOT,John,1,oh is it raining ?,oh is it raining ?,4,4,5,5,5,5,4,John/011115.cha,219,23.5,yeah .,do you want some eyes ? yeah .,. do you want some eyes ? yeah .
36,36,MOT,John,1,is it raining on Humpty_Dumpty ?,is it raining on Humpty_Dumpty ?,6,5,9,9,9,9,6,John/011115.cha,222,23.5,oh is it raining ?,yeah . oh is it raining ?,do you want some eyes ? yeah . oh is it raining ?
37,37,MOT,John,1,very good .,very good .,2,2,3,3,3,3,2,John/011115.cha,255,23.5,is it raining on Humpty_Dumpty ?,oh is it raining ? is it raining on Humpty_Dumpty ?,yeah . oh is it raining ? is it raining on Humpty_Dumpty ?
38,38,MOT,John,1,is that rain ?,is that rain ?,3,3,3,3,3,3,3,John/011115.cha,260,23.5,very good .,is it raining on Humpty_Dumpty ? very good .,oh is it raining ? is it raining on Humpty_Dumpty ? very good .
39,39,MOT,John,1,is it rain ?,is it rain ?,3,3,3,3,3,3,3,John/011115.cha,263,23.5,is that rain ?,very good . is that rain ?,is it raining on Humpty_Dumpty ? very good . is that rain ?
40,40,MOT,John,1,you could draw a sun .,you could draw a sun .,5,5,5,5,5,5,5,John/011115.cha,266,23.5,is it rain ?,is that rain ? is it rain ?,very good . is that rain ? is it rain ?
41,41,MOT,John,1,look it's sunny .,look it's sunny .,3,4,4,4,4,4,3,John/011115.cha,269,23.5,you could draw a sun .,is it rain ? you could draw a sun .,is that rain ? is it rain ? you could draw a sun .
42,42,MOT,John,1,draw a sun .,draw a sun .,3,3,3,3,3,3,3,John/011115.cha,275,23.5,look it's sunny .,you could draw a sun . look it's sunny .,is it rain ? you could draw a sun . look it's sunny .
43,43,MOT,John,1,thank_you .,thank_you .,2,1,2,2,2,2,2,John/011115.cha,281,23.5,draw a sun .,look it's sunny . draw a sun .,you could draw a sun . look it's sunny . draw a sun .
44,44,MOT,John,1,thank_you .,thank_you .,2,1,2,2,2,2,2,John/011115.cha,287,23.5,thank_you .,draw a sun . thank_you .,look it's sunny . draw a sun . thank_you .
45,45,MOT,John,1,what are we going to do with these blues ?,what are we going to do with these blues ?,9,9,9,10,9,9,9,John/011115.cha,290,23.5,thank_you .,thank_you . thank_you .,draw a sun . thank_you . thank_you .
46,46,MOT,John,1,white good .,white good .,2,2,2,3,2,2,2,John/011115.cha,296,23.5,what are we going to do with these blues ?,thank_you . what are we going to do with these blues ?,thank_you . thank_you . what are we going to do with these blues ?
47,47,MOT,John,1,yeah .,yeah .,1,1,1,1,1,1,1,John/011115.cha,305,23.5,white good .,what are we going to do with these blues ? white good .,thank_you . what are we going to do with these blues ? white good .
48,48,MOT,John,1,shall we draw the wall for Humpty_Dumpty ?,shall we draw the wall for Humpty_Dumpty ?,8,7,10,10,10,10,8,John/011115.cha,308,23.5,yeah .,white good . yeah .,what are we going to do with these blues ? white good . yeah .
49,49,MOT,John,1,white .,white .,1,1,1,2,1,1,1,John/011115.cha,317,23.5,shall we draw the wall for Humpty_Dumpty ?,yeah . shall we draw the wall for Humpty_Dumpty ?,white good . yeah . shall we draw the wall for Humpty_Dumpty ?
50,50,MOT,John,1,here you go .,here you go .,3,3,3,4,3,3,3,John/011115.cha,323,23.5,white .,shall we draw the wall for Humpty_Dumpty ? white .,yeah . shall we draw the wall for Humpty_Dumpty ? white .
51,51,MOT,John,1,is that the sun ?,is that the sun ?,4,4,4,4,4,4,4,John/011115.cha,329,23.5,here you go .,white . here you go .,shall we draw the wall for Humpty_Dumpty ? white . here you go .
52,52,MOT,John,1,there we are .,there we are .,3,3,3,4,3,3,3,John/011115.cha,335,23.5,is that the sun ?,here you go . is that the sun ?,white . here you go . is that the sun ?
53,53,MOT,John,1,there's the wall .,there's the wall .,3,4,4,4,4,4,3,John/011115.cha,338,23.5,there we are .,is that the sun ? there we are .,here you go . is that the sun ? there we are .
54,54,MOT,John,1,for Humpty_Dumpty .,for Humpty_Dumpty .,3,2,5,5,5,5,3,John/011115.cha,341,23.5,there's the wall .,there we are . there's the wall .,is that the sun ? there we are . there's the wall .
55,55,MOT,John,1,good .,good .,1,1,1,1,1,1,1,John/011115.cha,347,23.5,for Humpty_Dumpty .,there's the wall . for Humpty_Dumpty .,there we are . there's the wall . for Humpty_Dumpty .
56,56,MOT,John,1,that's a right thunder storm there .,that's a right thunder storm there .,6,7,7,8,7,7,6,John/011115.cha,350,23.5,good .,for Humpty_Dumpty . good .,there's the wall . for Humpty_Dumpty . good .
57,57,MOT,John,1,blue .,blue .,1,1,1,1,1,1,1,John/011115.cha,359,23.5,that's a right thunder storm there .,good . that's a right thunder storm there .,for Humpty_Dumpty . good . that's a right thunder storm there .
