utt_id,utt_id_role,speaker,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,context_k1,context_k2,context_k3
1,1,MOT,Liz,1,is that your baby ?,is that your baby ?,4,4,5,5,5,5,4,Liz/011109.cha,12,23.3,,,
2,2,MOT,Liz,1,what are you doing with them then ?,what are you doing with them then ?,7,7,7,7,7,7,7,Liz/011109.cha,18,23.3,is that your baby ?,is that your baby ?,is that your baby ?
3,3,MOT,Liz,1,pardon .,pardon .,1,1,2,2,2,2,1,Liz/011109.cha,21,23.3,what are you doing with them then ?,is that your baby ? what are you doing with them then ?,is that your baby ? what are you doing with them then ?
4,4,MOT,Liz,1,poor baby .,poor baby .,2,2,3,3,3,3,2,Liz/011109.cha,24,23.3,pardon .,what are you doing with them then ? pardon .,is that your baby ? what are you doing with them then ? pardon .
5,5,MOT,Liz,1,what're you going to do with your baby ?,what're you going to do with your baby ?,8,9,9,10,9,9,8,Liz/011109.cha,27,23.3,poor baby .,pardon . poor baby .,what are you doing with them then ? pardon . poor baby .
6,6,MOT,Liz,1,are you giving her to me ?,are you giving her to me ?,6,6,7,7,7,7,6,Liz/011109.cha,30,23.3,what're you going to do with your baby ?,poor baby . what're you going to do with your baby ?,pardon . poor baby . what're you going to do with your baby ?
7,7,MOT,Liz,1,you can speak if you like you know .,you can speak if you like you know .,8,8,8,9,8,8,8,Liz/011109.cha,33,23.3,are you giving her to me ?,what're you going to do with your baby ? are you giving her to me ?,poor baby . what're you going to do with your baby ? are you giving her to me ?
8,8,MOT,Liz,1,shall we have a play with your house ?,shall we have a play with your house ?,8,8,8,10,9,8,8,Liz/011109.cha,36,23.3,you can speak if you like you know .,are you giving her to me ? you can speak if you like you know .,what're you going to do with your baby ? are you giving her to me ? you can speak if you like you know .
9,9,MOT,Liz,1,there you are .,there you are .,3,3,3,4,3,3,3,Liz/011109.cha,42,23.3,shall we have a play with your house ?,you can speak if you like you know . shall we have a play with your house ?,are you giving her to me ? you can speak if you like you know . shall we have a play with your house ?
10,10,MOT,Liz,1,lets <have a> [/] have a look .,lets have a have a look .,6,4,6,8,6,6,6,Liz/011109.cha,45,23.3,there you are .,shall we have a play with your house ? there you are .,you can speak if you like you know . shall we have a play with your house ? there you are .
11,11,MOT,Liz,1,right .,right .,1,1,1,1,1,1,1,Liz/011109.cha,48,23.3,lets have a have a look .,there you are . lets have a have a look .,shall we have a play with your house ? there you are . lets have a have a look .
12,12,MOT,Liz,1,what's going on here ?,what's going on here ?,4,5,4,5,4,4,4,Liz/011109.cha,51,23.3,right .,lets have a have a look . right .,there you are . lets have a have a look . right .
13,13,MOT,Liz,1,Liz .,Liz .,1,1,1,1,1,1,1,Liz/011109.cha,54,23.3,what's going on here ?,right . what's going on here ?,lets have a have a look . right . what's going on here ?
14,14,MOT,Liz,1,Liz .,Liz .,1,1,1,1,1,1,1,Liz/011109.cha,57,23.3,Liz .,what's going on here ? Liz .,right . what's going on here ? Liz .
15,15,MOT,Liz,1,where are the people for the house ?,where are the people for the house ?,7,7,7,10,7,8,7,Liz/011109.cha,60,23.3,Liz .,Liz . Liz .,what's going on here ? Liz . Liz .
16,16,MOT,Liz,1,where are they ?,where are they ?,3,3,3,4,4,3,3,Liz/011109.cha,66,23.3,where are the people for the house ?,Liz . where are the people for the house ?,Liz . Liz . where are the people for the house ?
17,17,MOT,Liz,1,hm: ?,hm ?,1,1,1,1,1,1,1,Liz/011109.cha,72,23.3,where are they ?,where are the people for the house ? where are they ?,Liz . where are the people for the house ? where are they ?
18,18,MOT,Liz,1,are they with the farm maybe ?,are they with the farm maybe ?,6,6,6,7,7,6,6,Liz/011109.cha,78,23.3,hm ?,where are they ? hm ?,where are the people for the house ? where are they ? hm ?
19,19,MOT,Liz,1,yeah .,yeah .,1,1,1,1,1,1,1,Liz/011109.cha,90,23.3,are they with the farm maybe ?,hm ? are they with the farm maybe ?,where are they ? hm ? are they with the farm maybe ?
20,20,MOT,Liz,1,that's your pram .,that's your pram .,3,4,3,3,3,3,3,Liz/011109.cha,93,23.3,yeah .,are they with the farm maybe ? yeah .,hm ? are they with the farm maybe ? yeah .
21,21,MOT,Liz,1,"you're getting your book out , are you ?",you're getting your book out are you ?,7,9,8,9,8,8,7,Liz/011109.cha,102,23.3,that's your pram .,yeah . that's your pram .,are they with the farm maybe ? yeah . that's your pram .
