"session_id","age_raw","age_months","path","utts_CHI","m0_CHI","words_CHI","morphs_CHI","utts_MOT","m0_MOT","words_MOT","morphs_MOT","utts_FAT","m0_FAT","words_FAT","morphs_FAT"
1,"1;04.27",16.9,"Alex/010427.cha",22,0,22,22,497,0,1841,2023,0,0,0,0
2,"1;05.12",17.4,"Alex/010512.cha",16,0,16,16,614,0,1842,2057,0,0,0,0
3,"1;05.26",17.867,"Alex/010526.cha",24,0,28,28,642,0,2168,2453,3,0,5,6
4,"1;06.14",18.467,"Alex/010614.cha",10,0,11,11,637,0,2391,2688,0,0,0,0
5,"1;07.07",19.233,"Alex/010707.cha",45,0,160,160,628,0,2372,2662,2,0,5,6
6,"1;07.26",19.867,"Alex/010726.cha",119,0,204,201,743,0,2698,3143,32,0,105,119
7,"1;08.11",20.367,"Alex/010811.cha",118,3,178,182,649,1,2144,2585,5,0,22,28
8,"1;08.25",20.833,"Alex/010825.cha",109,0,165,188,683,0,2266,2606,20,0,43,47
9,"1;09.08",21.267,"Alex/010908.cha",157,0,286,357,746,0,2753,3148,0,0,0,0
10,"1;09.22",21.733,"Alex/010922.cha",296,0,451,502,851,0,3142,3617,0,0,0,0
11,"1;10.06",22.2,"Alex/011006.cha",345,0,497,491,859,0,3177,3763,30,1,115,142
12,"1;10.24",22.8,"Alex/011024.cha",414,0,669,735,827,3,3130,3698,39,0,137,166
13,"1;11.03",23.1,"Alex/011103.cha",273,1,382,435,788,3,3096,3488,0,0,0,0
14,"1;11.17",23.567,"Alex/011117.cha",316,2,493,543,566,0,2315,2591,0,0,0,0
15,"1;11.27",23.9,"Alex/011127.cha",204,0,299,291,808,0,3235,3599,0,0,0,0
16,"2;00.12",24.4,"Alex/020012.cha",193,1,259,262,777,1,3191,3813,28,0,119,140
17,"2;01.02",25.067,"Alex/020102.cha",215,0,381,417,771,2,3236,3755,2,0,4,4
18,"2;01.17",25.567,"Alex/020117.cha",195,0,290,326,657,0,2801,3295,3,0,14,19
19,"2;02.",26.0,"Alex/020200.cha",129,0,268,349,752,0,3165,3768,0,0,0,0
20,"2;02.17",26.567,"Alex/020217.cha",257,0,428,544,658,3,2327,2771,0,0,0,0
21,"2;03.",27.0,"Alex/020300.cha",369,0,602,636,861,0,2861,3356,0,0,0,0
22,"2;03.14",27.467,"Alex/020314.cha",325,0,464,526,875,0,2860,3281,5,0,15,17
23,"2;03.26",27.867,"Alex/020326.cha",825,1,1639,1995,840,0,2740,3220,0,0,0,0
24,"2;04.11",28.367,"Alex/020411.cha",432,0,772,913,911,0,3215,3739,0,0,0,0
25,"2;04.25",28.833,"Alex/020425.cha",668,1,1331,1497,826,0,3112,3689,0,0,0,0
26,"2;05.09",29.3,"Alex/020509.cha",632,0,1350,1430,763,1,2943,3562,0,0,0,0
27,"2;05.23",29.767,"Alex/020523.cha",426,0,943,1040,622,2,2487,2813,0,0,0,0
28,"2;06.06",30.2,"Alex/020606.cha",705,1,1596,1686,774,0,3196,3735,42,0,194,225
29,"2;06.20",30.667,"Alex/020620.cha",519,3,1312,1501,780,1,2985,3383,11,0,22,25
30,"2;07.05",31.167,"Alex/020705.cha",262,0,659,779,746,2,3365,3726,0,0,0,0
31,"2;07.24",31.8,"Alex/020724.cha",270,1,1006,1129,934,4,4307,4969,0,0,0,0
32,"2;08.10",32.333,"Alex/020810.cha",432,4,1023,1113,829,2,3645,4031,7,0,19,20
33,"2;08.16",32.533,"Alex/020816.cha",470,0,1073,1184,631,1,2865,3249,0,0,0,0
34,"2;08.28",32.933,"Alex/020828.cha",389,0,901,1025,503,0,2401,2729,0,0,0,0
35,"2;09.13",33.433,"Alex/020913.cha",537,4,1202,1347,883,0,3872,4537,2,0,4,6
36,"2;09.26",33.867,"Alex/020926.cha",527,0,1163,1295,647,0,2566,2854,0,0,0,0
37,"2;10.11",34.367,"Alex/021011.cha",447,0,1162,1265,578,0,2729,3012,22,0,85,96
38,"2;10.25",34.833,"Alex/021025.cha",438,4,1282,1424,639,0,2759,3138,0,0,0,0
39,"2;11.08",35.267,"Alex/021108.cha",542,0,1346,1613,823,1,3560,4235,0,0,0,0
40,"2;11.22",35.733,"Alex/021122.cha",431,5,919,970,689,0,2757,3015,0,0,0,0
41,"3;00.06",36.2,"Alex/030006.cha",625,5,1745,1955,760,0,2900,3274,0,0,0,0
42,"3;01.03",37.1,"Alex/030103.cha",404,0,1010,1099,669,0,2787,3086,0,0,0,0
43,"3;01.19",37.633,"Alex/030119.cha",623,2,2058,2026,673,0,3151,3419,0,0,0,0
44,"3;02.",38.0,"Alex/030200.cha",545,1,1759,1764,712,0,3448,3733,0,0,0,0
45,"3;02.14",38.467,"Alex/030214.cha",511,2,1381,1564,801,1,3482,3961,0,0,0,0
46,"3;03.01",39.033,"Alex/030301.cha",439,3,1147,1212,750,0,3514,3971,1,0,2,2
47,"3;03.13",39.433,"Alex/030313.cha",391,3,1083,1171,563,0,2341,2641,0,0,0,0
48,"3;03.27",39.9,"Alex/030327.cha",455,7,1204,1292,713,0,3063,3403,0,0,0,0
49,"3;04.10",40.333,"Alex/030410.cha",490,2,1239,1289,783,2,2826,3150,0,0,0,0
50,"3;04.24",40.8,"Alex/030424.cha",468,2,1654,1734,631,0,3187,3516,0,0,0,0
51,"3;05.16",41.533,"Alex/030516.cha",774,1,2324,2508,935,0,3512,4003,32,0,130,149
52,"","","Alex/010700.cha",0,0,0,0,0,0,0,0,0,0,0,0
