"session_id","age_raw","age_months","path","utts_CHI","m0_CHI","words_CHI","morphs_CHI","utts_MOT","m0_MOT","words_MOT","morphs_MOT","utts_FAT","m0_FAT","words_FAT","morphs_FAT"
1,"0;11.04",11.133,"Ethan/001104.cha",1,0,1,1,635,0,2242,2504,0,0,0,0
2,"0;11.21",11.7,"Ethan/001121.cha",36,0,41,43,980,0,3665,4058,0,0,0,0
3,"1;00.06",12.2,"Ethan/010006.cha",12,0,13,13,1009,0,3507,3867,0,0,0,0
4,"1;00.21",12.7,"Ethan/010021.cha",182,0,239,239,830,1,2943,3399,0,0,0,0
5,"1;01.05",13.167,"Ethan/010105.cha",172,0,191,191,853,3,2781,3214,0,0,0,0
6,"1;01.17",13.567,"Ethan/010117.cha",130,0,137,139,918,2,2653,3147,0,0,0,0
7,"1;02.01",14.033,"Ethan/010201.cha",115,0,120,124,767,0,3272,3815,0,0,0,0
8,"1;02.18",14.6,"Ethan/010218.cha",293,0,310,317,972,1,3752,4426,0,0,0,0
9,"1;02.28",14.933,"Ethan/010228.cha",337,0,397,412,691,1,2961,3438,0,0,0,0
10,"1;03.15",15.5,"Ethan/010315.cha",455,1,665,682,905,0,4127,4854,0,0,0,0
11,"1;04.",16.0,"Ethan/010400.cha",460,0,712,717,665,0,2675,3098,0,0,0,0
12,"1;04.11",16.367,"Ethan/010411.cha",343,0,592,603,720,0,2990,3434,0,0,0,0
13,"1;04.26",16.867,"Ethan/010426.cha",243,0,381,396,579,0,2815,3340,0,0,0,0
14,"1;05.17",17.567,"Ethan/010517.cha",417,0,775,855,764,0,3471,4169,0,0,0,0
15,"1;06.02",18.067,"Ethan/010602.cha",212,0,372,379,676,2,2673,2987,0,0,0,0
16,"1;06.20",18.667,"Ethan/010620.cha",583,0,1184,1240,727,0,3247,3665,17,0,85,100
17,"1;07.",19.0,"Ethan/010700.cha",334,1,722,785,513,0,2496,2863,0,0,0,0
18,"1;07.14",19.467,"Ethan/010714.cha",332,0,682,881,833,0,3444,4328,0,0,0,0
19,"1;07.26",19.867,"Ethan/010726.cha",311,0,616,698,707,0,3098,3730,0,0,0,0
20,"1;08.04",20.133,"Ethan/010804.cha",338,0,720,810,662,0,2545,3035,0,0,0,0
21,"1;08.20",20.667,"Ethan/010820.cha",202,0,448,471,786,0,3404,4103,0,0,0,0
22,"1;09.04",21.133,"Ethan/010904.cha",141,0,364,402,473,0,1945,2347,0,0,0,0
23,"1;09.18",21.6,"Ethan/010918.cha",36,0,99,103,103,0,425,535,0,0,0,0
24,"1;09.26",21.867,"Ethan/010926.cha",287,0,782,888,860,1,3887,4749,0,0,0,0
25,"1;10.11",22.367,"Ethan/011011.cha",327,0,991,1136,552,0,3190,3942,0,0,0,0
26,"1;10.23",22.767,"Ethan/011023.cha",290,0,868,950,691,0,4184,4993,0,0,0,0
27,"1;11.10",23.333,"Ethan/011110.cha",186,0,561,639,536,0,2675,3254,0,0,0,0
28,"1;11.21",23.7,"Ethan/011121.cha",275,1,771,918,830,0,3702,4430,0,0,0,0
29,"2;00.07",24.233,"Ethan/020007.cha",100,0,260,311,349,0,1486,1779,0,0,0,0
30,"2;00.25",24.833,"Ethan/020025.cha",246,0,631,678,661,1,3479,4163,0,0,0,0
31,"2;01.22",25.733,"Ethan/020122.cha",293,1,980,1155,668,0,3223,3915,0,0,0,0
32,"2;02.08",26.267,"Ethan/020208.cha",194,12,447,517,407,0,2028,2549,0,0,0,0
33,"2;02.22",26.733,"Ethan/020222.cha",253,0,729,843,713,0,3663,4470,0,0,0,0
34,"2;03.19",27.633,"Ethan/020319.cha",219,1,584,643,821,1,3633,4220,0,0,0,0
35,"2;04.02",28.067,"Ethan/020402.cha",276,1,1030,1164,879,3,3823,4400,0,0,0,0
36,"2;04.19",28.633,"Ethan/020419.cha",307,1,895,1025,783,0,3805,4424,0,0,0,0
37,"2;05.",29.0,"Ethan/020500.cha",311,2,978,1101,755,0,4049,4897,0,0,0,0
38,"2;05.15",29.5,"Ethan/020515.cha",279,0,857,976,795,0,4437,5432,0,0,0,0
39,"2;05.26",29.867,"Ethan/020526.cha",214,0,695,850,876,1,4698,5738,0,0,0,0
40,"2;06.11",30.367,"Ethan/020611.cha",283,0,903,1013,602,0,3299,3817,0,0,0,0
41,"2;06.24",30.8,"Ethan/020624.cha",221,0,751,838,712,0,3774,4141,0,0,0,0
42,"2;07.09",31.3,"Ethan/020709.cha",297,0,932,1021,759,0,4054,4245,0,0,0,0
43,"2;07.25",31.833,"Ethan/020725.cha",310,0,1009,1129,742,3,3909,4509,0,0,0,0
44,"2;08.10",32.333,"Ethan/020810.cha",316,0,850,940,826,3,3403,4023,0,0,0,0
45,"2;09.",33.0,"Ethan/020900.cha",503,0,1754,2002,877,1,4474,4846,0,0,0,0
46,"2;09.07",33.233,"Ethan/020907.cha",340,0,1118,1238,746,2,3759,4408,2,0,8,12
47,"2;09.20",33.667,"Ethan/020920.cha",347,0,1179,1357,796,1,4132,4757,0,0,0,0
48,"2;10.05",34.167,"Ethan/021005.cha",444,0,1411,1625,730,1,3384,3980,0,0,0,0
49,"2;10.18",34.6,"Ethan/021018.cha",368,0,1175,1352,714,0,3794,4350,0,0,0,0
50,"2;11.01",35.033,"Ethan/021101.cha",315,0,910,1052,845,0,4283,4808,0,0,0,0
