session_id,age_raw,age_months,path,utts_CHI,m0_CHI,words_CHI,morphs_CHI,utts_MOT,m0_MOT,words_MOT,morphs_MOT,utts_FAT,m0_FAT,words_FAT,morphs_FAT
1,1;01.02,13.067,Lily/010102.cha,37,0,37,37,1214,0,3963,4222,0,0,0,0
2,1;01.17,13.567,Lily/010117.cha,70,0,70,70,1226,1,4425,4684,0,0,0,0
3,1;02.02,14.067,Lily/010202.cha,23,0,23,23,1035,4,3511,3643,0,0,0,0
4,1;02.13,14.433,Lily/010213.cha,20,0,20,20,998,0,4406,4796,0,0,0,0
5,1;02.28,14.933,Lily/010228.cha,8,0,15,16,1068,2,4402,4969,0,0,0,0
6,1;03.13,15.433,Lily/010313.cha,0,0,0,0,837,0,3785,4194,0,0,0,0
7,1;03.23,15.767,Lily/010323.cha,18,0,18,18,812,3,3973,4482,0,0,0,0
8,1;03.26,15.867,Lily/010326.cha,5,0,5,5,1046,4,4304,4675,0,0,0,0
9,1;04.23,16.767,Lily/010423.cha,30,0,33,33,846,3,3714,4113,0,0,0,0
10,1;05.08,17.267,Lily/010508.cha,39,0,43,43,847,4,4009,4410,0,0,0,0
11,1;05.21,17.7,Lily/010521.cha,52,0,54,54,962,1,4400,4694,0,0,0,0
12,1;06.11,18.367,Lily/010611.cha,62,1,71,70,910,3,3987,4404,0,0,0,0
13,1;06.18,18.6,Lily/010618.cha,109,0,141,147,972,0,5043,5631,0,0,0,0
14,1;07.01,19.033,Lily/010701.cha,68,0,70,71,1156,0,6054,7024,0,0,0,0
15,1;07.19,19.633,Lily/010719.cha,292,5,320,317,1145,3,5603,6788,0,0,0,0
16,1;08.03,20.1,Lily/010803.cha,234,0,272,272,787,1,3359,3903,199,1,734,866
17,1;08.14,20.467,Lily/010814.cha,400,0,571,539,893,0,4145,4895,0,0,0,0
18,1;08.27,20.9,Lily/010827.cha,318,0,419,435,1013,1,4850,5746,0,0,0,0
19,1;09.12,21.4,Lily/010912.cha,331,0,421,444,967,0,4567,5231,38,0,123,147
20,1;09.25,21.833,Lily/010925.cha,368,0,606,630,966,0,5500,6466,0,0,0,0
21,1;10.09,22.3,Lily/011009.cha,458,3,911,985,966,6,4986,5806,0,0,0,0
22,1;10.22,22.733,Lily/011022.cha,433,3,855,949,929,2,5175,6047,160,0,577,672
23,1;11.07,23.233,Lily/011107.cha,351,1,813,832,781,0,5653,6376,0,0,0,0
24,1;11.26,23.867,Lily/011126.cha,514,3,1004,1058,898,3,4963,5476,0,0,0,0
25,2;00.04,24.133,Lily/020004.cha,336,1,715,762,978,0,6374,7569,0,0,0,0
26,2;00.11,24.367,Lily/020011.cha,477,2,1039,1110,970,0,5127,6052,0,0,0,0
27,2;00.23,24.767,Lily/020023.cha,437,5,964,977,1015,0,5456,6029,1,0,6,6
28,2;01.01,25.033,Lily/020101.cha,330,0,736,794,830,2,4431,4846,0,0,0,0
29,2;01.08,25.267,Lily/020108.cha,342,5,765,746,841,1,4086,4529,0,0,0,0
30,2;01.15,25.5,Lily/020115.cha,425,0,1220,1248,956,3,5078,5715,0,0,0,0
31,2;01.23,25.767,Lily/020123.cha,362,2,907,904,779,0,4009,4374,0,0,0,0
32,2;02.01,26.033,Lily/020201.cha,438,8,1057,1020,1295,4,6898,7548,3,0,8,8
33,2;02.15,26.5,Lily/020215a.cha,309,3,927,966,825,0,3709,4066,0,0,0,0
34,2;02.15,26.5,Lily/020215b.cha,374,3,1108,1199,808,0,3736,4161,0,0,0,0
35,2;02.27,26.9,Lily/020227.cha,321,1,1079,1170,806,0,4246,4703,0,0,0,0
36,2;03.05,27.167,Lily/020305.cha,313,1,945,1003,722,1,4011,4431,0,0,0,0
37,2;03.17,27.567,Lily/020317.cha,393,1,1466,1555,643,2,4148,4673,0,0,0,0
38,2;04.02,28.067,Lily/020402.cha,368,5,1094,1178,660,1,4396,4935,0,0,0,0
39,2;04.09,28.3,Lily/020409.cha,427,0,1428,1588,802,6,6305,7099,0,0,0,0
40,2;04.16,28.533,Lily/020416.cha,319,0,1209,1381,568,0,3252,3790,0,0,0,0
41,2;04.28,28.933,Lily/020428.cha,382,4,1358,1570,684,2,3288,3797,0,0,0,0
42,2;05.06,29.2,Lily/020506.cha,300,1,1175,1342,213,0,1873,2100,149,1,864,997
43,2;05.18,29.6,Lily/020518.cha,437,5,1423,1678,1005,0,5827,7034,0,0,0,0
44,2;05.26,29.867,Lily/020526.cha,490,1,1361,1588,798,0,4257,4754,0,0,0,0
45,2;06.04,30.133,Lily/020604.cha,471,1,1354,1559,917,2,5442,6610,0,0,0,0
46,2;06.12,30.4,Lily/020612.cha,377,1,1182,1259,547,1,3418,3791,0,0,0,0
47,2;06.18,30.6,Lily/020618.cha,176,3,540,627,299,0,1860,2173,0,0,0,0
48,2;06.23,30.767,Lily/020623.cha,387,0,1223,1348,996,0,6388,7133,0,0,0,0
49,2;07.,31.0,Lily/020700.cha,579,2,2670,3038,617,0,2885,3178,0,0,0,0
50,2;07.01,31.033,Lily/020701.cha,330,9,1150,1287,584,1,4868,5870,0,0,0,0
51,2;07.16,31.533,Lily/020716.cha,390,1,1304,1469,773,0,3800,4275,0,0,0,0
52,2;07.21,31.7,Lily/020721.cha,518,20,1256,1406,863,1,5368,6477,0,0,0,0
53,2;07.28,31.933,Lily/020728.cha,325,2,990,1070,788,2,5360,5875,0,0,0,0
54,2;08.06,32.2,Lily/020806.cha,549,3,1891,2161,734,0,4104,4632,0,0,0,0
55,2;08.13,32.433,Lily/020813.cha,445,0,1497,1563,735,0,4291,4786,0,0,0,0
56,2;08.19,32.633,Lily/020819.cha,508,2,2096,2391,732,1,4061,4817,0,0,0,0
57,2;09.04,33.133,Lily/020904.cha,407,0,1164,1262,950,2,5504,6151,0,0,0,0
58,2;09.09,33.3,Lily/020909.cha,382,1,1093,1217,764,1,4040,4753,0,0,0,0
59,2;09.18,33.6,Lily/020918.cha,198,0,635,718,742,0,5698,6504,0,0,0,0
60,2;09.23,33.767,Lily/020923.cha,395,0,1263,1415,769,2,4887,5817,0,0,0,0
61,2;10.08,34.267,Lily/021008.cha,431,2,1657,1791,843,0,4667,5180,0,0,0,0
62,2;10.25,34.833,Lily/021025.cha,321,0,934,1063,632,1,3604,4239,0,0,0,0
63,2;10.28,34.933,Lily/021028.cha,549,0,1674,1797,784,0,4481,5013,0,0,0,0
64,2;11.06,35.2,Lily/021106.cha,598,1,2018,2336,886,0,4322,5233,0,0,0,0
