"session_id","age_raw","age_months","path","utts_CHI","m0_CHI","words_CHI","morphs_CHI","utts_MOT","m0_MOT","words_MOT","morphs_MOT","utts_FAT","m0_FAT","words_FAT","morphs_FAT"
1,"0;11.26",11.867,"Naima/001126.cha",111,0,184,184,897,0,3457,4067,138,0,507,566
2,"1;00.14",12.467,"Naima/010014.cha",53,0,59,55,928,0,3554,4170,0,0,0,0
3,"1;00.26",12.867,"Naima/010026.cha",98,0,124,130,842,0,3871,4598,16,0,68,73
4,"1;01.11",13.367,"Naima/010111.cha",99,0,120,128,393,0,1595,1776,0,0,0,0
5,"1;01.24",13.8,"Naima/010124.cha",98,0,144,146,511,0,2230,2515,0,0,0,0
6,"1;02.07",14.233,"Naima/010207.cha",89,9,125,114,431,3,2104,2426,46,0,230,275
7,"1;02.21",14.7,"Naima/010221.cha",212,0,319,322,569,0,2678,3088,239,0,917,1055
8,"1;03.07",15.233,"Naima/010307.cha",278,0,425,451,781,0,3462,4048,0,0,0,0
9,"1;03.12",15.4,"Naima/010312.cha",446,0,687,698,1103,0,4937,5613,0,0,0,0
10,"1;03.25",15.833,"Naima/010325.cha",493,0,1006,1011,927,1,4690,5300,14,0,51,57
11,"1;04.03",16.1,"Naima/010403.cha",558,0,1034,1058,773,0,3735,4251,295,0,1606,1815
12,"1;04.10",16.333,"Naima/010410.cha",516,0,999,1024,844,0,4463,5020,15,0,66,78
13,"1;04.16",16.533,"Naima/010416.cha",479,0,875,978,1112,4,5340,6221,0,0,0,0
14,"1;04.23",16.767,"Naima/010423.cha",359,0,869,957,854,0,4550,5332,10,0,48,55
15,"1;05.02",17.067,"Naima/010502.cha",325,0,972,1159,586,3,3037,3738,135,0,668,909
16,"1;05.11",17.367,"Naima/010511.cha",418,0,1206,1361,615,0,3207,3785,229,0,1092,1368
17,"1;05.24",17.8,"Naima/010524.cha",270,0,564,595,583,0,3234,3858,4,0,14,17
18,"1;06.04",18.133,"Naima/010604.cha",390,0,933,1224,894,1,6233,7550,5,0,39,43
19,"1;06.09",18.3,"Naima/010609.cha",445,2,1158,1409,859,0,4501,5322,0,0,0,0
20,"1;06.20",18.667,"Naima/010620.cha",467,0,940,1085,760,0,3431,4030,98,0,495,572
21,"1;07.",19.0,"Naima/010700.cha",368,0,1085,1179,646,0,3941,4441,0,0,0,0
22,"1;07.10",19.333,"Naima/010710.cha",481,0,1251,1489,850,0,4305,5209,29,0,123,146
23,"1;07.17",19.567,"Naima/010717.cha",277,0,817,837,642,0,4457,4958,0,0,0,0
24,"1;07.23",19.767,"Naima/010723.cha",442,0,942,1104,808,2,3965,4793,99,1,371,430
25,"1;08.01",20.033,"Naima/010801.cha",374,0,784,849,663,0,3914,4320,0,0,0,0
26,"1;08.08",20.267,"Naima/010808.cha",537,2,1342,1521,800,1,4036,4679,0,0,0,0
27,"1;08.18",20.6,"Naima/010818.cha",450,0,991,1093,733,3,4497,4926,0,0,0,0
28,"1;08.21",20.7,"Naima/010821.cha",702,0,2024,2347,831,0,4594,5459,0,0,0,0
29,"1;09.08",21.267,"Naima/010908.cha",326,0,887,983,588,0,3047,3563,0,0,0,0
30,"1;09.10",21.333,"Naima/010910.cha",329,4,1261,1490,880,6,4482,5104,115,0,476,549
31,"1;09.15",21.5,"Naima/010915.cha",335,0,846,955,453,0,2216,2561,0,0,0,0
32,"1;09.21",21.7,"Naima/010921.cha",365,0,1244,1448,516,0,2877,3216,176,0,973,1100
33,"1;09.25",21.833,"Naima/010925.cha",461,0,1557,1833,741,0,4043,4798,0,0,0,0
34,"1;10.05",22.167,"Naima/011005.cha",412,0,1325,1486,533,1,2973,3280,28,0,133,148
35,"1;10.12",22.4,"Naima/011012.cha",527,0,1405,1507,1041,0,5760,6889,0,0,0,0
36,"1;10.18",22.6,"Naima/011018.cha",467,0,1650,1792,321,0,2466,2760,278,0,1769,1978
37,"1;10.27",22.9,"Naima/011027.cha",431,0,1160,1291,930,5,4876,5641,0,0,0,0
38,"1;11.07",23.233,"Naima/011107.cha",401,0,1521,1696,636,0,4583,5110,0,0,0,0
39,"1;11.16",23.533,"Naima/011116.cha",75,0,239,289,272,0,1731,2119,6,0,25,27
40,"1;11.22",23.733,"Naima/011122.cha",321,0,904,1035,615,0,4444,5095,68,0,252,274
41,"1;11.26",23.867,"Naima/011126.cha",346,0,1169,1324,729,1,4003,4706,0,0,0,0
42,"2;00.04",24.133,"Naima/020004.cha",334,0,1243,1407,870,3,5154,5911,18,0,103,121
43,"2;00.12",24.4,"Naima/020012.cha",301,0,910,1020,495,0,2558,2960,9,0,39,46
