"session_id","age_raw","age_months","path","utts_CHI","m0_CHI","words_CHI","morphs_CHI","utts_MOT","m0_MOT","words_MOT","morphs_MOT","utts_FAT","m0_FAT","words_FAT","morphs_FAT"
1,"1;02.",14.0,"Violet/010200.cha",8,2,10,9,393,0,1700,1964,72,0,373,422
2,"1;02.14",14.467,"Violet/010214.cha",1,0,1,1,445,0,2191,2508,46,0,275,307
3,"1;03.09",15.3,"Violet/010309.cha",0,0,0,0,307,0,1297,1473,15,0,61,68
4,"1;03.26",15.867,"Violet/010326.cha",1,0,1,1,429,0,2241,2562,0,0,0,0
5,"1;04.07",16.233,"Violet/010407.cha",0,0,0,0,363,0,2106,2449,0,0,0,0
6,"1;04.20",16.667,"Violet/010420.cha",12,0,12,12,539,1,2080,2375,0,0,0,0
7,"1;05.03",17.1,"Violet/010503.cha",18,0,18,18,1114,3,4496,5251,86,1,312,356
8,"1;05.20",17.667,"Violet/010520.cha",4,0,5,6,604,0,2325,2625,61,0,226,272
9,"1;06.03",18.1,"Violet/010603.cha",29,0,29,29,525,0,2138,2403,9,0,28,33
10,"1;06.18",18.6,"Violet/010618.cha",30,0,36,40,341,0,1884,2161,0,0,0,0
11,"1;07.04",19.133,"Violet/010704.cha",177,0,320,313,604,1,3021,3508,0,0,0,0
12,"1;07.22",19.733,"Violet/010722.cha",70,0,130,140,446,0,1768,2061,32,0,146,186
13,"1;08.05",20.167,"Violet/010805.cha",105,0,147,151,538,0,2184,2574,0,0,0,0
14,"1;08.22",20.733,"Violet/010822.cha",83,0,111,116,450,0,1609,1866,0,0,0,0
15,"1;09.07",21.233,"Violet/010907.cha",223,0,399,419,419,0,1527,1786,18,0,41,44
16,"1;09.25",21.833,"Violet/010925.cha",260,0,423,449,504,0,2120,2453,20,0,48,60
17,"1;10.12",22.4,"Violet/011012.cha",195,0,391,434,472,0,1761,2055,0,0,0,0
18,"1;10.27",22.9,"Violet/011027.cha",262,3,602,674,496,1,2475,2898,0,0,0,0
19,"1;11.15",23.5,"Violet/011115.cha",168,0,410,438,538,1,2783,3209,41,0,182,198
20,"1;11.28",23.933,"Violet/011128.cha",193,4,388,410,462,0,2090,2528,17,0,81,98
21,"2;00.13",24.433,"Violet/020013.cha",264,3,688,796,362,0,1512,1745,120,0,631,747
22,"2;00.27",24.9,"Violet/020027.cha",242,0,737,852,377,0,1697,1905,0,0,0,0
23,"2;01.10",25.333,"Violet/020110.cha",438,3,1154,1263,711,0,4054,4983,0,0,0,0
24,"2;01.19",25.633,"Violet/020119.cha",329,7,965,1081,458,1,2013,2417,0,0,0,0
25,"2;02.11",26.367,"Violet/020211.cha",331,6,884,1004,504,2,2157,2604,28,0,125,154
26,"2;03.05",27.167,"Violet/020305.cha",257,0,629,686,469,0,2071,2326,45,1,193,230
27,"2;03.12",27.4,"Violet/020312.cha",229,0,676,757,364,2,1568,1886,39,0,153,189
28,"2;03.19",27.633,"Violet/020319.cha",271,0,676,779,546,0,2438,2885,35,0,151,188
29,"2;05.01",29.033,"Violet/020501.cha",472,4,1370,1503,840,0,4214,5041,0,0,0,0
30,"2;05.15",29.5,"Violet/020515.cha",457,2,1155,1302,784,0,4398,5199,46,0,189,209
31,"2;05.27",29.9,"Violet/020527.cha",378,1,1286,1494,443,0,2256,2779,0,0,0,0
32,"2;06.16",30.533,"Violet/020616.cha",326,1,1185,1372,317,0,1438,1743,32,0,125,153
33,"2;06.27",30.9,"Violet/020627.cha",179,1,632,717,491,0,2824,3306,7,0,20,24
34,"2;07.07",31.233,"Violet/020707.cha",396,2,1364,1532,531,0,2572,3086,87,0,493,582
35,"2;07.24",31.8,"Violet/020724.cha",182,1,578,630,548,0,3527,3889,154,0,789,881
36,"2;08.07",32.233,"Violet/020807.cha",331,5,876,1012,697,1,3722,4384,20,0,75,88
37,"2;08.19",32.633,"Violet/020819.cha",237,7,684,770,707,3,4009,4711,18,0,65,74
38,"2;09.08",33.267,"Violet/020908.cha",385,2,1150,1326,413,1,1853,2062,18,0,75,81
39,"2;10.02",34.067,"Violet/021002.cha",378,3,1372,1585,486,0,2339,2771,8,0,18,19
40,"2;10.16",34.533,"Violet/021016.cha",181,0,509,551,445,0,2196,2484,13,0,41,47
41,"2;10.28",34.933,"Violet/021028.cha",317,0,938,1121,566,1,3248,3826,62,0,269,318
42,"2;11.26",35.867,"Violet/021126.cha",180,0,610,659,390,0,2105,2367,11,0,38,46
43,"3;01.19",37.633,"Violet/030119.cha",251,0,679,780,527,1,2192,2568,87,0,359,411
44,"3;04.",40.0,"Violet/030400.cha",240,3,691,781,489,5,2349,2742,0,0,0,0
45,"3;04.24",40.8,"Violet/030424.cha",284,1,925,1025,701,0,4239,4609,25,0,184,206
46,"3;06.",42.0,"Violet/030600.cha",315,0,854,968,791,4,3592,4322,9,0,43,47
47,"3;06.21",42.7,"Violet/030621.cha",196,1,590,646,343,0,2156,2384,7,0,41,45
48,"3;07.22",43.733,"Violet/030722.cha",238,0,797,963,584,2,3369,3847,0,0,0,0
49,"3;08.23",44.767,"Violet/030823.cha",262,0,1040,1190,581,1,4604,5229,0,0,0,0
50,"3;10.18",46.6,"Violet/031018.cha",203,3,817,950,366,0,1901,2151,0,0,0,0
51,"3;11.24",47.8,"Violet/031124.cha",147,0,611,674,436,1,3073,3425,0,0,0,0
52,"","","Violet/030200.cha",0,0,0,0,0,0,0,0,0,0,0,0
