session_id,age_raw,age_months,path,utts_CHI,m0_CHI,words_CHI,morphs_CHI,utts_MOT,m0_MOT,words_MOT,morphs_MOT,utts_FAT,m0_FAT,words_FAT,morphs_FAT
1,1;04.12,16.4,William/010412.cha,133,0,153,163,997,5,4203,5108,0,0,0,0
2,1;04.27,16.9,William/010427.cha,91,0,125,126,951,2,3704,4415,0,0,0,0
3,1;06.05,18.167,William/010605.cha,215,2,251,255,1068,0,4322,5060,0,0,0,0
4,1;06.19,18.633,William/010619.cha,212,0,273,273,1040,1,4059,4853,0,0,0,0
5,1;07.08,19.267,William/010708.cha,391,13,463,460,0,0,0,0,1064,2,2974,3454
6,1;07.18,19.6,William/010718.cha,160,0,218,223,692,1,3511,4274,0,0,0,0
7,1;08.02,20.067,William/010802.cha,360,1,559,590,952,0,3741,4488,0,0,0,0
8,1;08.14,20.467,William/010814.cha,299,0,508,527,1054,0,4598,5388,0,0,0,0
9,1;08.29,20.967,William/010829.cha,48,0,60,60,356,0,1798,2163,0,0,0,0
10,1;09.12,21.4,William/010912.cha,239,0,318,346,880,0,4148,5231,0,0,0,0
11,1;09.27,21.9,William/010927.cha,234,0,346,365,589,1,2605,3160,28,0,88,105
12,1;10.12,22.4,William/011012.cha,377,1,508,525,825,0,3893,4793,0,0,0,0
13,1;11.,23.0,William/011100.cha,153,1,241,240,572,0,2716,3383,0,0,0,0
14,1;11.15,23.5,William/011115.cha,269,0,406,423,692,0,3175,4012,0,0,0,0
15,2;00.12,24.4,William/020012.cha,279,3,405,403,934,1,3918,4628,0,0,0,0
16,2;00.28,24.933,William/020028.cha,321,7,523,526,677,0,2750,3310,19,0,69,73
17,2;01.09,25.3,William/020109.cha,99,0,151,155,309,1,1289,1580,0,0,0,0
18,2;01.27,25.9,William/020127.cha,426,0,744,845,869,1,3452,4230,0,0,0,0
19,2;02.09,26.3,William/020209.cha,302,2,557,691,723,0,3450,4309,11,0,23,27
20,2;02.21,26.7,William/020221.cha,196,0,286,321,571,0,2464,3011,0,0,0,0
21,2;03.07,27.233,William/020307.cha,459,1,909,1064,694,0,2987,3633,0,0,0,0
22,2;03.19,27.633,William/020319.cha,316,0,688,796,796,0,3627,4367,32,0,126,149
23,2;04.03,28.1,William/020403.cha,484,0,1190,1443,528,0,2561,3143,1,0,1,1
24,2;04.16,28.533,William/020416.cha,374,1,1092,1330,566,0,2820,3413,0,0,0,0
25,2;05.,29.0,William/020500.cha,722,0,1612,1953,113,0,636,776,31,0,115,135
26,2;05.16,29.533,William/020516.cha,364,4,801,912,905,0,4537,5464,0,0,0,0
27,2;05.29,29.967,William/020529.cha,156,0,338,383,651,0,3412,4181,12,0,39,45
28,2;06.12,30.4,William/020612.cha,336,0,718,872,755,0,3747,4592,26,0,75,83
29,2;06.26,30.867,William/020626.cha,246,0,619,707,477,0,2482,3010,10,0,29,32
30,2;07.08,31.267,William/020708.cha,333,0,954,1094,593,0,3387,3889,0,0,0,0
31,2;07.26,31.867,William/020726.cha,380,0,876,1019,856,0,4930,6106,0,0,0,0
32,2;08.08,32.267,William/020808.cha,380,1,1181,1350,684,0,2707,3246,11,0,25,27
33,2;08.22,32.733,William/020822.cha,290,5,832,1013,54,0,244,282,329,1,1343,1539
34,2;09.05,33.167,William/020905.cha,589,3,1508,1797,0,0,0,0,632,0,2393,2913
35,2;11.,35.0,William/021100.cha,303,4,676,748,663,0,3208,3875,13,0,39,42
36,2;11.14,35.467,William/021114.cha,386,1,1226,1402,663,0,3811,4600,63,0,279,347
37,3;00.11,36.367,William/030011.cha,461,0,1429,1616,627,0,2897,3474,25,0,87,109
38,3;00.28,36.933,William/030028.cha,541,0,1531,1797,922,0,4407,5308,9,0,26,28
39,3;01.15,37.5,William/030115.cha,730,2,2360,2724,753,0,3421,4231,12,0,42,52
40,3;01.25,37.833,William/030125.cha,533,10,1379,1513,657,1,2893,3489,26,0,98,117
41,3;02.21,38.7,William/030221.cha,731,7,2180,2396,735,4,3317,3964,121,0,599,733
42,3;03.05,39.167,William/030305.cha,526,2,1852,2072,482,0,2818,3495,11,0,43,50
43,3;03.25,39.833,William/030325.cha,431,2,1355,1539,19,0,102,125,263,0,1239,1557
44,3;04.18,40.6,William/030418.cha,767,5,2364,2750,95,0,506,638,471,0,2272,2887
