child_id,age,sex,race,social_class
kif,4;09.,male,Black,UC
bom,4;09.,male,Black,UC
ref,4;09.,male,Black,UC
chj,4;09.,male,Black,UC
ded,4;09.,male,Black,UC
jaf,4;09.,male,Black,UC
anc,4;09.,male,Black,UC
trh,4;09.,female,Black,UC
mim,4;09.,female,Black,UC
brd,4;09.,male,Black,UC
voh,4;09.,male,Black,UC
kmf,4;09.,female,Black,WC
trc,4;09.,female,Black,WC
kig,4;09.,female,Black,WC
deg,4;09.,male,Black,WC
mis,4;09.,male,Black,WC
rog,4;09.,male,,
pag,4;09.,male,Black,WC
lef,4;09.,female,Black,WC
anl,4;09.,male,Black,WC
roj,4;09.,male,Black,WC
lea,4;09.,female,,
zoe,4;09.,female,White,UC
grc,4;09.,,,
toh,4;09.,male,White,UC
job,4;09.,male,White,UC
jub,4;09.,female,White,UC
maa,4;09.,male,White,UC
tos,4;09.,male,White,UC
gas,4;09.,male,White,UC
rob,4;09.,male,White,UC
boo,4;09.,male,White,WC
kag,4;09.,female,White,WC
brh,,,,
sat,4;06.,female,White,WC
sut,4;09.,female,White,WC
kao,4;09.,male,White,WC
mig,4;09.,male,White,WC
dal,4;09.,male,White,WC
stl,4;09.,male,White,WC
