utt_id,child_id,utterance,word_count,file,line_no
1,kif,(.) mommy what kind what kin(d) a cookies shall I get (.) ?,10,kif.cha,27
2,kif,wha(t) (.) ?,1,kif.cha,30
3,kif,mommy what kin(d) a cookies &~sh (.) ?,6,kif.cha,33
4,kif,what ?,1,kif.cha,36
5,kif,what kin(d) (.) you talk .,4,kif.cha,39
6,kif,I like (.) +...,2,kif.cha,54
7,kif,&~ha hm I forget tin .,5,kif.cha,57
8,kif,do you know (.) ?,3,kif.cha,66
9,kif,what kind a cookies ?,4,kif.cha,75
10,kif,I like (.) peanut butter cookies .,5,kif.cha,78
11,kif,peanut butter .,2,kif.cha,84
12,kif,I said Hi_c .,4,kif.cha,99
13,kif,grape .,1,kif.cha,105
14,kif,I said .,2,kif.cha,108
15,kif,Hi_c .,2,kif.cha,111
16,kif,xxx .,1,kif.cha,123
17,kif,no .,1,kif.cha,144
18,kif,what ?,1,kif.cha,154
19,kif,mhm (.) .,1,kif.cha,160
20,kif,awright [: alright] (.) .,1,kif.cha,169
21,kif,mhm .,1,kif.cha,178
22,kif,&=laugh .,1,kif.cha,184
23,kif,&=laugh .,1,kif.cha,202
24,kif,&=laugh &=laugh .,2,kif.cha,211
25,kif,&-uh I wanna say &=laugh +...,5,kif.cha,224
26,kif,&=laugh .,1,kif.cha,236
27,kif,&=laugh .,1,kif.cha,243
28,kif,no .,1,kif.cha,256
29,kif,&=laugh .,1,kif.cha,262
30,kif,no .,1,kif.cha,272
31,kif,&=laugh .,1,kif.cha,280
32,kif,&=laugh .,1,kif.cha,304
33,kif,mom .,1,kif.cha,326
34,kif,I had enough .,3,kif.cha,335
35,kif,&=laugh .,1,kif.cha,341
36,kif,yeah .,1,kif.cha,360
37,kif,okay .,1,kif.cha,388
38,kif,where is it (.) ?,3,kif.cha,400
39,kif,well is it broken ?,4,kif.cha,406
40,kif,no .,1,kif.cha,415
41,kif,it's not broken (.) .,3,kif.cha,423
42,kif,it's some where (.) .,3,kif.cha,426
43,kif,I I don't think I can find it .,8,kif.cha,432
44,kif,mhm I'll see .,3,kif.cha,438
45,kif,(.) here's here's one part (.) to it .,6,kif.cha,458
46,kif,(.) he's saying here's one part to it .,7,kif.cha,461
47,kif,here's one part .,3,kif.cha,464
48,kif,a microphone .,2,kif.cha,470
49,kif,&~m &~w &~m know [=! big breath] [//] I don't know where it's at (.) .,10,kif.cha,476
50,kif,nope I've a xxx I've a xxx an I put in here a cord you see I talk into this .,20,kif.cha,482
51,kif,(be)cause I like to .,4,kif.cha,492
52,kif,&~tsk well I can't .,4,kif.cha,501
53,kif,yes (.) .,1,kif.cha,507
54,kif,you help me .,3,kif.cha,510
55,kif,mom I can't find it .,5,kif.cha,519
56,kif,no .,1,kif.cha,525
57,kif,where is it ?,3,kif.cha,531
58,kif,what wup@wp wup@wp (.) .,5,kif.cha,537
59,kif,bathroom (.) ?,1,kif.cha,540
60,kif,it's (.) ova [: over] dere [: there] ?,3,kif.cha,546
61,kif,this ?,1,kif.cha,555
62,kif,why (.) ?,1,kif.cha,567
63,kif,I'm not gonna play with it now (.) .,7,kif.cha,573
64,kif,but I xxx it .,4,kif.cha,576
65,kif,(be)cause it's broken .,3,kif.cha,582
66,kif,yeah it doesn't work (.) .,4,kif.cha,585
67,kif,chip .,1,kif.cha,603
68,kif,it doesn't work (.) .,3,kif.cha,606
69,kif,no neres [: there's] .,2,kif.cha,615
70,kif,no batteries in it (.) .,4,kif.cha,621
71,kif,backwards (.) .,1,kif.cha,624
72,kif,chip .,1,kif.cha,630
73,kif,(.) whoops .,1,kif.cha,633
74,kif,see (.) .,1,kif.cha,640
75,kif,yep my brother &~braes has two .,6,kif.cha,661
76,kif,mhm (.) .,1,kif.cha,667
77,kif,yeah .,1,kif.cha,676
78,kif,well he meeds [: needs] (th)em for talkin(g) .,6,kif.cha,682
79,kif,what ?,1,kif.cha,694
80,kif,naw .,1,kif.cha,700
81,kif,(.) Ma .,1,kif.cha,709
82,kif,I bet I can make you say this word .,9,kif.cha,715
83,kif,this one (.) .,2,kif.cha,721
84,kif,xxx .,1,kif.cha,730
85,kif,&~ha !,1,kif.cha,731
86,kif,you said it .,3,kif.cha,732
87,kif,n:o .,2,kif.cha,744
88,kif,what ?,1,kif.cha,747
89,kif,yeah .,1,kif.cha,753
90,kif,&=laugh (.) .,1,kif.cha,759
91,kif,look a circle .,3,kif.cha,764
92,kif,if ya put this here (.) .,5,kif.cha,773
93,kif,see ?,1,kif.cha,776
94,kif,no .,1,kif.cha,782
95,kif,that's a indian .,3,kif.cha,791
96,kif,"that was a indian , I said .",6,kif.cha,797
97,kif,you are you afraid of indians ?,6,kif.cha,800
98,kif,yeah .,1,kif.cha,806
99,kif,well if +...,2,kif.cha,815
100,kif,no .,1,kif.cha,821
101,kif,"if you went to the an(d) they shot arrow , and xxx +...",11,kif.cha,827
102,kif,are they are they nice or bad ?,7,kif.cha,833
103,kif,"I said , are they nice or bad ?",7,kif.cha,839
104,kif,Robert Redford is nice (be)cause he's a indian .,8,kif.cha,848
105,kif,Robert Redford .,2,kif.cha,854
106,kif,"I said , Robert Redford .",4,kif.cha,860
107,kif,mhm (.) .,1,kif.cha,866
108,kif,no .,1,kif.cha,878
109,kif,(.) I don't know .,3,kif.cha,890
110,kif,yes .,1,kif.cha,896
111,kif,&~tsk well yes I saw it on tv .,8,kif.cha,905
112,kif,mhm .,1,kif.cha,920
113,kif,turn it on .,3,kif.cha,929
114,kif,yeah .,1,kif.cha,935
115,kif,I don't know when it comes on .,7,kif.cha,938
116,kif,there's a movie that you haven't seen an(d) it's about guns .,11,kif.cha,941
117,kif,it keeps [//] it's about it's about people shooting it's about some bad .,12,kif.cha,944
118,kif,did you see did did you look at it ?,9,kif.cha,947
119,kif,it's on it's on my tv .,6,kif.cha,950
120,kif,but it's on channel [//] what ?,5,kif.cha,953
121,kif,it's on channel four .,4,kif.cha,962
122,kif,what time ?,2,kif.cha,968
123,kif,I don't know what time .,5,kif.cha,971
124,kif,no .,1,kif.cha,977
125,kif,well comes on (.) .,3,kif.cha,986
126,kif,"you have [//] you gotta wait for a long time , an(d) then it comes on (.) .",14,kif.cha,989
127,kif,it it's a little long (.) .,5,kif.cha,1001
128,kif,"if you , if you don't like it chan(ge) &~ch .",9,kif.cha,1007
129,kif,if you don't like it change to another channel .,9,kif.cha,1010
130,kif,yes .,1,kif.cha,1019
131,kif,mine aren't (.) .,2,kif.cha,1032
132,kif,I said mine aren't tired (.) .,5,kif.cha,1038
133,kif,(be)cause I haven't been walking (.) .,5,kif.cha,1044
134,kif,because I walk slow an(d) I don't walk fast (be)cause (be)cause I get too tired .,15,kif.cha,1053
135,kif,my legs never get tired (.) .,5,kif.cha,1059
136,kif,when I even run my legs don't get tired (.) .,9,kif.cha,1065
137,kif,hi [: faintly said] (.) .,1,kif.cha,1072
138,kif,yes (.) .,1,kif.cha,1078
139,kif,chip's here right now (.) .,4,kif.cha,1084
140,kif,wan(t) 0to see (th)em (.) ?,4,kif.cha,1088
141,kif,wanna see my brother chip ?,5,kif.cha,1091
142,kif,he's comin(g) out .,3,kif.cha,1097
143,kif,you wanna see my brother chip ?,6,kif.cha,1100
144,kif,well he's comin(g) out .,4,kif.cha,1106
145,kif,"right now , after my mom finishes combing [//] drying his hair (.) .",10,kif.cha,1109
146,kif,you hear that ?,3,kif.cha,1118
147,kif,yeah .,1,kif.cha,1127
148,kif,here mom .,2,kif.cha,1133
149,kif,mommy look (.) .,2,kif.cha,1137
150,kif,I found it on the floor .,6,kif.cha,1143
151,kif,here .,1,kif.cha,1149
152,kif,I've I have a football helmet .,6,kif.cha,1158
153,kif,my brother has a basketball light .,6,kif.cha,1164
154,kif,have you seen it ?,4,kif.cha,1170
155,kif,I'm gettin(g) +...,2,kif.cha,1179
156,kif,what (.) ?,1,kif.cha,1230
157,kif,xxx [: faintly] .,1,kif.cha,1239
158,kif,no .,1,kif.cha,1242
159,kif,I got three &~free shirts .,5,kif.cha,1266
160,kif,mom .,1,kif.cha,1278
161,kif,don't say (.) xxx .,3,kif.cha,1284
162,kif,no .,1,kif.cha,1290
163,kif,(be)cause I'm I'm a boy .,5,kif.cha,1293
164,kif,I don't want wanna be called a fellow .,8,kif.cha,1299
165,kif,(be)cause I don't wanna be called .,6,kif.cha,1305
166,kif,ow that's too tight .,4,kif.cha,1336
167,kif,yes .,1,kif.cha,1342
168,kif,no that way .,3,kif.cha,1354
169,kif,yes (.) .,1,kif.cha,1366
170,kif,&=cough mom (.) .,2,kif.cha,1399
171,kif,yes .,1,kif.cha,1478
172,kif,hey that's for me .,4,kif.cha,1484
173,kif,"what , this ?",2,kif.cha,1493
174,kif,(.) boys state .,2,kif.cha,1496
175,kif,what ?,1,kif.cha,1505
176,kif,I said that's me an(d) &~bahlee (.) xxx .,7,kif.cha,1508
177,kif,hide this (.) .,2,kif.cha,1524
178,kif,move your hand (.) .,3,kif.cha,1527
179,kif,what (.) ?,1,kif.cha,1534
180,kif,that's why I read the comics .,6,kif.cha,1540
181,kif,I said I read comics .,5,kif.cha,1546
182,kif,(.) xxx yes that's what I'm a read .,7,kif.cha,1552
183,kif,chip did his thing mom .,5,kif.cha,1588
184,kif,I'll hold this .,3,kif.cha,1606
185,kif,oops excuse me .,3,kif.cha,1609
186,kif,yes .,1,kif.cha,1627
187,kif,what ?,1,kif.cha,1644
188,kif,awright [: alright] .,1,kif.cha,1650
189,kif,&~oo:h .,2,kif.cha,1660
190,kif,(.) &=laugh (.) say hi diddle diddle (.) Kip (.) .,6,kif.cha,1661
191,kif,what (.) ?,1,kif.cha,1664
192,kif,awright [: alright] (.) .,1,kif.cha,1670
193,kif,hi diddle diddle (.) .,3,kif.cha,1679
194,kif,yeah (.) .,1,kif.cha,1702
195,kif,awright [: alright] (.) .,1,kif.cha,1711
196,kif,xxx what ?,2,kif.cha,1743
197,kif,no: (.) .,1,kif.cha,1752
198,kif,what's your gasses@c ?,4,kif.cha,1764
199,kif,what ?,1,kif.cha,1773
200,kif,what ?,1,kif.cha,1776
201,kif,awright [: alright] (.) .,1,kif.cha,1792
202,kif,okay .,1,kif.cha,1801
203,kif,(.) what ?,1,kif.cha,1810
204,kif,(.) dinosaur (.) .,1,kif.cha,1816
205,kif,xxx .,1,kif.cha,1822
206,kif,horse .,1,kif.cha,1826
207,kif,(.) xxx (.) .,1,kif.cha,1830
208,kif,awright [: alright] .,1,kif.cha,1834
209,kif,(.) I got &~suhmpin somethin(g) behin(d) my back an it (.) rhymes with &~or horse (.) .,13,kif.cha,1852
210,kif,&=laugh .,1,kif.cha,2013
211,kif,xxx (.) .,1,kif.cha,2023
212,kif,&~hah .,1,kif.cha,2037
213,kif,&~sigh (.) .,1,kif.cha,2041
214,kif,&~noise (.) .,1,kif.cha,2049
215,kif,&-um I'm Kip .,3,kif.cha,2053
216,kif,&-um xxx .,2,kif.cha,2065
217,kif,no .,1,kif.cha,2090
218,kif,naw .,1,kif.cha,2098
219,kif,yeah .,1,kif.cha,2101
220,kif,hunhunh (.) .,1,kif.cha,2107
221,kif,you haven't met my dad have you ?,7,kif.cha,2125
222,kif,I &~li +...,2,kif.cha,2140
223,kif,I like him .,3,kif.cha,2146
224,kif,xxx xxx .,2,kif.cha,2202
225,kif,I can break that off .,5,kif.cha,2206
226,kif,why (d)on't you take that thing off ?,7,kif.cha,2212
227,kif,that .,1,kif.cha,2218
228,kif,xxx (.) xxx .,2,kif.cha,2237
229,kif,(.) momma .,1,kif.cha,2238
230,kif,I don't have one .,4,kif.cha,2247
231,kif,yes .,1,kif.cha,2256
232,kif,I don't have a jacket .,5,kif.cha,2265
233,kif,I don't have [!] a jacket .,5,kif.cha,2274
234,kif,I do not [!] .,3,kif.cha,2281
235,kif,I can't .,2,kif.cha,2289
236,kif,I don't have one .,4,kif.cha,2295
237,kif,I jus(t) have one jacket .,5,kif.cha,2301
238,kif,I have one .,3,kif.cha,2307
239,kif,yep .,1,kif.cha,2316
240,kif,no I don't I have five (.) .,6,kif.cha,2322
241,kif,let me see .,3,kif.cha,2331
242,kif,let's see .,2,kif.cha,2343
243,kif,xxx &=laugh .,2,kif.cha,2358
244,kif,&=laugh .,1,kif.cha,2360
245,kif,no: .,1,kif.cha,2367
246,kif,I'm going to play .,4,kif.cha,2370
247,kif,xxx all my friends .,4,kif.cha,2376
248,kif,xxx all xxx (.) .,3,kif.cha,2382
249,kif,okay .,1,kif.cha,2407
250,kif,xxx cookie .,2,kif.cha,2413
251,kif,I like these .,3,kif.cha,2420
252,kif,my father xxx .,3,kif.cha,2426
253,kif,my mom let's [//] never let's me xxx .,7,kif.cha,2432
254,kif,she doesn't let she doesn't let me buy these .,9,kif.cha,2438
255,kif,no .,1,kif.cha,2444
256,kif,but she doesn't +...,3,kif.cha,2456
257,kif,xxx want me xxx (.) .,4,kif.cha,2462
258,kif,ow .,1,kif.cha,2521
259,kif,what ?,1,kif.cha,2589
260,kif,awright [: alright] .,1,kif.cha,2598
