dataset,child,n_rows,n_nonempty_utterance_clean,min_age_months,max_age_months,mean_age_months,word_count_nonmissing,word_count_mean,word_count_min,word_count_max,morph_count_nonmissing,morph_count_mean,morph_count_min,morph_count_max,utt_syllables_basic_nonmissing,utt_syllables_basic_mean,utt_syllables_basic_min,utt_syllables_basic_max,utt_syllables_lenient_nonmissing,utt_syllables_lenient_mean,utt_syllables_lenient_min,utt_syllables_lenient_max,utt_syllables_strictY_nonmissing,utt_syllables_strictY_mean,utt_syllables_strictY_min,utt_syllables_strictY_max,utt_syllables_le_nonmissing,utt_syllables_le_mean,utt_syllables_le_min,utt_syllables_le_max,n_alpha_words_nonmissing,n_alpha_words_mean,n_alpha_words_min,n_alpha_words_max,utterance_clean_token_count_nonmissing,utterance_clean_token_count_mean,utterance_clean_token_count_min,utterance_clean_token_count_max
Manchester,Anne,22687,22687,22.233,33.333,27.802479481641466,22687,2.068497377352669,0,45,22687,2.243575615991537,0,45,22687,2.432758848679861,0,63,22687,2.727024287036629,0,74,22687,2.44602635870763,0,63,22687,2.453078855732358,0,63,22687,2.068497377352669,0,45,22687,3.0443866531493806,1,46
Manchester,Aran,18293,18293,23.4,34.933,29.132984857595805,18293,2.5422839337451486,0,17,18293,2.713168971737823,0,20,18293,2.880774066582846,0,17,18293,3.1448094899688406,0,20,18293,2.899961733996611,0,17,18293,2.8868419614060024,0,17,18293,2.5422839337451486,0,17,18293,3.5214562947575576,1,18
Manchester,Becky,27347,27347,24.233,35.5,30.17236515888397,27347,2.052254360624566,0,15,27347,2.258858375690204,0,19,27347,2.368376787216148,0,20,27347,2.623907558415914,0,21,27347,2.3908289757560244,0,20,27347,2.382564815153399,0,20,27347,2.052254360624566,0,15,27347,3.0338245511390647,1,16
Manchester,Carl,26280,26280,20.733,32.5,26.64166898782344,26280,2.5207762557077626,0,14,26280,2.725076103500761,0,15,26280,3.0147260273972605,0,17,26280,3.269977168949772,0,17,26280,3.025,0,18,26280,3.031240487062405,0,17,26280,2.5207762557077626,0,14,26280,3.4715372907153728,1,15
Manchester,Dominic,24239,24239,22.833,34.533,28.76901072651512,24239,1.926853418045299,0,14,24239,2.042699781344115,0,16,24239,2.3259622921737697,0,17,24239,2.5615330665456497,0,23,24239,2.349148067164487,0,17,24239,2.335739923264161,0,17,24239,1.926853418045299,0,14,24239,2.906101736870333,1,15
Manchester,Gail,18462,18462,23.9,35.4,29.351361499295844,18462,2.207778138879861,0,16,18462,2.4300725815187953,0,14,18462,2.65800021666125,0,17,18462,2.897681724623551,0,19,18462,2.6637959051023725,0,17,18462,2.67500812479688,0,17,18462,2.207778138879861,0,16,18462,3.1886577835554113,1,17
Manchester,Joel,21374,21374,23.033,34.367,29.469182932534856,21374,1.9930289136333863,0,15,21374,2.194582202676149,0,15,21374,2.411481238888369,0,19,21374,2.642790305979227,0,21,21374,2.42196126134556,0,19,21374,2.4259848413960885,0,19,21374,1.9930289136333863,0,15,21374,2.9512959670627867,1,16
Manchester,John,14449,14449,23.5,34.8,28.923991902553812,14449,2.031836113225829,0,18,14449,2.1773825178213024,0,18,14449,2.487369368122361,0,30,14449,2.727039933559416,0,33,14449,2.501349574365008,0,30,14449,2.507509170184788,0,30,14449,2.031836113225829,0,18,14449,3.0174406533324105,1,19
Manchester,Liz,16867,16867,23.3,34.6,28.36419446256003,16867,2.4116914685480526,0,17,16867,2.5625778146676943,0,18,16867,2.8026323590442876,0,19,16867,3.086796703622458,0,20,16867,2.831090294658208,0,19,16867,2.826762316950258,0,19,16867,2.4116914685480526,0,17,16867,3.3872057864469083,1,18
Manchester,Nicole,20330,20330,24.833,36.333,30.813742351205114,20330,1.6171667486473191,0,14,20330,1.6886374815543532,0,15,20330,1.9846532218396458,0,17,20330,2.25243482538121,0,18,20330,2.003246433841613,0,17,20330,1.9972946384653223,0,17,20330,1.6171667486473191,0,14,20330,2.595327102803738,1,15
Manchester,Ruth,21433,21433,23.5,35.7,29.979177156720947,21433,1.9507768394531797,0,16,21433,1.9812905332897868,0,15,21433,2.294919050062987,0,19,21433,2.5958568562497084,0,23,21433,2.3195073018242898,0,19,21433,2.305323566462931,0,20,21433,1.9507768394531797,0,16,21433,2.924835533989642,1,17
Manchester,Warren,17813,17813,22.2,33.667,28.259904395666087,17813,2.7017908269241566,0,25,17813,2.8970414865547633,0,20,17813,3.281985067085836,0,29,17813,3.6005164767304776,0,31,17813,3.297142536349857,0,30,17813,3.3124122831639813,0,29,17813,2.7017908269241566,0,25,17813,3.6743951046988155,1,26
